ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
Alessandro_Volta,Was Volta an Italian physicist?,yes,easy,easy,data/set4/a10
Alessandro_Volta,Is Volta buried in the city of Pittsburgh?,no,easy,easy,data/set4/a10
Alessandro_Volta,Did Volta have a passion for the study of electricity?,yes,easy,medium,data/set4/a10
Alessandro_Volta,What is the battery made by Volta credited to be?,the first cell,medium,medium,data/set4/a10
Alessandro_Volta,What important electrical unit was named in honor of Volta?,the volt,medium,medium,data/set4/a10
Alessandro_Volta,What important electrical unit was named in honor of Volta?,volt,medium,medium,data/set4/a10
Alessandro_Volta,Where did Volta enter retirement?,Spain,medium,medium,data/set4/a10
Alessandro_Volta,Is it a disadvantage for something to be unsafe to handle?,yes,hard,too hard,data/set4/a10
Alessandro_Volta,Was Lombardy under Napoleon's rule in 1800?,yes,hard,hard,data/set4/a10
Alessandro_Volta,Was the Italian 10.000 lira banknote created before the euro?,yes,hard,hard,data/set4/a10
Alessandro_Volta,For how many years did Alessandro Volta live?,53,NULL,medium,data/set4/a10
Alessandro_Volta,Did Alessandro Volta live to be 80 years old?,no,NULL,easy,data/set4/a10
Alessandro_Volta,What was Alessandro Volta`s profession?,physisist,NULL,easy,data/set4/a10
Alessandro_Volta,How old was Alessandro Volta when he died?,82,NULL,hard,data/set4/a10
Alessandro_Volta,"How many years ago was it when Volta married the daughter of Count Ludovico Peregrini , Teresa , with whom he raised three sons?",215,NULL,hard,data/set4/a10
Alessandro_Volta,Is the electrolyte sulphuric acid?,Yes,NULL,easy,data/set4/a10
Alessandro_Volta,Is volta buried in the city  of Como?,Yes,NULL,easy,data/set4/a10
Alessandro_Volta,Was his 1800  paper written in French?,Yes,NULL,easy,data/set4/a10
Alessandro_Volta,"Before 1796, was Lombardy ruled by Austria?",yes,NULL,medium,data/set4/a10
Alessandro_Volta,Did he receive the Society`s 1794 Copley Medal?,Yes,NULL,easy,data/set4/a10
Alessandro_Volta,Did he experiment with individual cells?,Yes,NULL,easy,data/set4/a10
Alessandro_Volta,When did lombardy come under Napoleon`s rule?,From 1796 to 1815,NULL,easy,data/set4/a10
Alessandro_Volta,Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society,NULL,medium,data/set4/a10
Alessandro_Volta,Did he become professor of experimental physics at the University of Pavia?,Yes,NULL,easy,data/set4/a10
Alessandro_Volta,Is it true that his passion been always the study of electricity?,Yes,NULL,easy,data/set4/a10
Alessandro_Volta,His passion been always the study of what?,Electricity,NULL,easy,data/set4/a10
Alessandro_Volta,Is it true that Volta married the daughter of Count Ludovico Peregrini?,Yes,NULL,easy,data/set4/a10
